order_id,customer_id,order_date,status,shipping_cost
O000001,C00078,2025-06-17,Shipped,19.99
O000002,C00074,2025-09-28,Delivered,0.0
O000003,C00923,2024-08-15,Delivered,19.99
O000004,C00386,2025-05-04,Returned,4.99
O000005,C00567,2025-03-08,Delivered,0.0
O000006,C00969,2025-11-02,Delivered,7.99
O000007,C00738,2025-11-28,Shipped,19.99
O000008,C00975,2024-01-10,Delivered,19.99
O000009,C00398,2025-06-18,Delivered,0.0
O000010,C00437,2024-02-16,Delivered,0.0
O000011,C00450,2025-02-12,Shipped,7.99
O000012,C00926,2024-09-17,Delivered,7.99
O000013,C00197,2024-10-08,Delivered,7.99
O000014,C00511,2024-11-09,Delivered,0.0
O000015,C00213,2025-04-30,Delivered,19.99
O000016,C00555,2024-11-02,Shipped,7.99
O000017,C00987,2025-08-02,Delivered,12.99
O000018,C00858,2024-11-27,Delivered,4.99
O000019,C00176,2024-03-04,Delivered,4.99
O000020,C00994,2025-09-14,Cancelled,19.99
O000021,C00484,2024-09-15,Delivered,7.99
O000022,C00831,2024-12-07,Cancelled,12.99
O000023,C00974,2025-06-27,Shipped,19.99
O000024,C00053,2024-11-02,Delivered,7.99
O000025,C00002,2024-02-21,Delivered,4.99
O000026,C00821,2024-11-16,Delivered,0.0
O000027,C00384,2025-12-12,Shipped,0.0
O000028,C00160,2025-05-22,Delivered,0.0
O000029,C00993,2025-06-16,Delivered,0.0
O000030,C00890,2025-05-12,Shipped,0.0
O000031,C00854,2024-07-07,Delivered,4.99
O000032,C00390,2024-12-02,Delivered,4.99
O000033,C00450,2025-08-16,Delivered,4.99
O000034,C00789,2024-04-08,Delivered,0.0
O000035,C00253,2024-09-07,Shipped,0.0
O000036,C00067,2024-09-05,Delivered,7.99
O000037,C00537,2024-12-07,Delivered,4.99
O000038,C00606,2025-12-25,Cancelled,4.99
O000039,C00421,2024-03-03,Delivered,7.99
O000040,C00954,2025-01-15,Processing,12.99
O000041,C00725,2024-06-22,Processing,4.99
O000042,C00709,2025-12-21,Delivered,7.99
O000043,C00854,2024-04-21,Delivered,19.99
O000044,C00385,2024-11-27,Delivered,12.99
O000045,C00860,2025-08-06,Delivered,4.99
O000046,C00155,2025-07-12,Delivered,7.99
O000047,C00178,2024-12-04,Delivered,0.0
O000048,C00824,2024-11-07,Delivered,7.99
O000049,C00757,2024-11-25,Cancelled,19.99
O000050,C00367,2024-08-26,Delivered,4.99
O000051,C00459,2024-07-12,Delivered,19.99
O000052,C00080,2024-12-25,Delivered,4.99
O000053,C00857,2024-08-29,Returned,19.99
O000054,C00722,2024-09-17,Delivered,7.99
O000055,C00265,2025-06-05,Shipped,0.0
O000056,C00844,2025-12-20,Delivered,7.99
O000057,C00750,2025-04-11,Delivered,0.0
O000058,C00313,2024-03-13,Delivered,0.0
O000059,C00029,2024-03-12,Delivered,12.99
O000060,C00714,2025-12-14,Delivered,0.0
O000061,C00904,2024-09-28,Delivered,7.99
O000062,C00831,2024-03-29,Delivered,0.0
O000063,C00204,2025-04-06,Returned,0.0
O000064,C00549,2025-05-03,Delivered,19.99
O000065,C00002,2025-05-29,Returned,4.99
O000066,C00385,2024-08-28,Delivered,7.99
O000067,C00195,2024-01-13,Delivered,7.99
O000068,C00716,2025-12-19,Delivered,7.99
O000069,C00113,2024-08-16,Delivered,12.99
O000070,C00961,2025-06-20,Delivered,7.99
O000071,C00386,2025-07-13,Delivered,4.99
O000072,C00695,2025-04-18,Delivered,12.99
O000073,C00736,2024-10-14,Shipped,0.0
O000074,C00214,2024-08-31,Delivered,4.99
O000075,C00827,2025-04-05,Shipped,19.99
O000076,C00308,2025-11-14,Delivered,7.99
O000077,C00094,2025-12-13,Delivered,12.99
O000078,C00723,2024-04-13,Delivered,7.99
O000079,C00006,2024-06-03,Delivered,12.99
O000080,C00859,2025-12-12,Delivered,19.99
O000081,C00715,2025-08-05,Delivered,0.0
O000082,C00120,2025-11-20,Delivered,0.0
O000083,C00173,2024-07-10,Delivered,4.99
O000084,C00355,2025-03-25,Delivered,7.99
O000085,C00936,2025-07-09,Delivered,0.0
O000086,C00900,2025-06-23,Delivered,0.0
O000087,C00835,2024-11-29,Returned,4.99
O000088,C00368,2024-01-13,Shipped,19.99
O000089,C00204,2025-03-20,Delivered,7.99
O000090,C00122,2024-08-17,Cancelled,4.99
O000091,C00429,2024-12-14,Cancelled,0.0
O000092,C00215,2025-12-16,Delivered,4.99
O000093,C00203,2024-11-25,Delivered,0.0
O000094,C00710,2025-11-05,Processing,0.0
O000095,C00095,2024-06-29,Delivered,12.99
O000096,C00650,2025-06-17,Cancelled,19.99
O000097,C00338,2025-12-23,Delivered,0.0
O000098,C00006,2024-04-09,Delivered,0.0
O000099,C00134,2024-01-07,Delivered,4.99
O000100,C00485,2024-12-08,Delivered,4.99
O000101,C00895,2024-03-30,Shipped,0.0
O000102,C00777,2025-08-14,Processing,4.99
O000103,C00669,2025-12-01,Delivered,0.0
O000104,C00857,2024-12-08,Delivered,7.99
O000105,C00273,2024-08-21,Shipped,7.99
O000106,C00238,2024-12-08,Delivered,7.99
O000107,C00951,2025-07-26,Delivered,4.99
O000108,C00494,2024-01-08,Delivered,12.99
O000109,C00638,2025-03-27,Shipped,19.99
O000110,C00685,2025-04-22,Shipped,0.0
O000111,C00648,2025-05-18,Delivered,0.0
O000112,C00500,2024-08-09,Delivered,4.99
O000113,C00711,2025-07-19,Processing,0.0
O000114,C00213,2024-03-29,Delivered,4.99
O000115,C00146,2024-07-07,Delivered,7.99
O000116,C00942,2025-11-18,Delivered,4.99
O000117,C00530,2025-08-07,Shipped,4.99
O000118,C00729,2024-01-12,Delivered,4.99
O000119,C00109,2024-08-14,Delivered,19.99
O000120,C00686,2024-07-19,Delivered,0.0
O000121,C00629,2024-08-31,Delivered,7.99
O000122,C00269,2024-08-13,Delivered,0.0
O000123,C00767,2024-02-27,Delivered,0.0
O000124,C00893,2024-12-17,Delivered,7.99
O000125,C00561,2025-08-02,Delivered,0.0
O000126,C00498,2025-04-15,Delivered,0.0
O000127,C00125,2025-06-17,Delivered,0.0
O000128,C00968,2024-03-18,Returned,7.99
O000129,C00451,2025-12-14,Cancelled,7.99
O000130,C00503,2025-11-04,Delivered,0.0
O000131,C00601,2025-10-06,Shipped,7.99
O000132,C00830,2025-10-26,Delivered,0.0
