product_id,name,category,sub_category,price,cost
P00001,Approach Smartphone,Electronics,Smartphones,186.44,131.29
P00002,Goal Smartphone,Electronics,Smartphones,75.51,59.66
P00003,Across Smartphone,Electronics,Smartphones,419.56,279.11
P00004,Board Smartphone,Electronics,Smartphones,41.11,30.37
P00005,Professor Smartphone,Electronics,Smartphones,297.83,219.33
P00006,Throw Smartphone,Electronics,Smartphones,117.92,86.7
P00007,Sell Laptop,Electronics,Laptops,522.61,362.41
P00008,Lay Laptop,Electronics,Laptops,441.52,279.73
P00009,Just Laptop,Electronics,Laptops,411.99,307.41
P00010,Thus Laptop,Electronics,Laptops,9.72,7.33
P00011,Mission Laptop,Electronics,Laptops,477.15,302.62
P00012,Since Laptop,Electronics,Laptops,518.79,381.6
P00013,Particular Accessorie,Electronics,Accessories,427.3,300.27
P00014,Pick Accessorie,Electronics,Accessories,306.6,243.28
P00015,Side Accessorie,Electronics,Accessories,125.4,91.67
P00016,Once Accessorie,Electronics,Accessories,21.7,16.46
P00017,Fill Accessorie,Electronics,Accessories,369.49,273.26
P00018,Although Accessorie,Electronics,Accessories,97.12,70.19
P00019,Method Wearable,Electronics,Wearables,80.96,55.41
P00020,Instead Wearable,Electronics,Wearables,21.08,15.65
P00021,Mention Wearable,Electronics,Wearables,265.21,227.93
P00022,Must Wearable,Electronics,Wearables,315.29,258.89
P00023,Perhaps Wearable,Electronics,Wearables,220.19,187.37
P00024,Share Wearable,Electronics,Wearables,194.34,154.75
P00025,Population Wearable,Electronics,Wearables,205.26,134.1
P00026,Worry Shirt,Apparel,Shirts,236.15,154.75
P00027,Resource Shirt,Apparel,Shirts,425.73,333.61
P00028,West Shirt,Apparel,Shirts,43.31,37.35
P00029,Technology Shirt,Apparel,Shirts,359.81,218.07
P00030,Trip Shirt,Apparel,Shirts,211.27,143.23
P00031,Method Shirt,Apparel,Shirts,462.82,313.59
P00032,Each Pant,Apparel,Pants,492.19,302.92
P00033,Send Pant,Apparel,Pants,97.17,83.75
P00034,Ask Pant,Apparel,Pants,79.08,65.19
P00035,News Pant,Apparel,Pants,385.83,269.44
P00036,After Pant,Apparel,Pants,136.63,91.1
P00037,Knowledge Pant,Apparel,Pants,379.94,307.92
P00038,Part Footwear,Apparel,Footwear,373.16,244.86
P00039,Four Footwear,Apparel,Footwear,78.36,50.24
P00040,On Footwear,Apparel,Footwear,464.84,386.06
P00041,Attack Footwear,Apparel,Footwear,19.77,15.14
P00042,Executive Footwear,Apparel,Footwear,444.01,272.55
P00043,Walk Footwear,Apparel,Footwear,243.73,161.68
P00044,Raise Outerwear,Apparel,Outerwear,52.37,35.02
P00045,Key Outerwear,Apparel,Outerwear,303.55,252.76
P00046,Visit Outerwear,Apparel,Outerwear,488.5,310.13
P00047,Material Outerwear,Apparel,Outerwear,293.14,242.16
P00048,But Outerwear,Apparel,Outerwear,606.69,393.62
P00049,Miss Outerwear,Apparel,Outerwear,193.92,142.15
P00050,Prevent Outerwear,Apparel,Outerwear,212.38,151.38
P00051,Wrong Furniture,Home & Garden,Furniture,220.14,139.79
P00052,Race Furniture,Home & Garden,Furniture,396.7,329.82
P00053,Hand Furniture,Home & Garden,Furniture,564.38,384.51
P00054,List Furniture,Home & Garden,Furniture,499.72,332.34
P00055,Save Furniture,Home & Garden,Furniture,268.52,177.02
P00056,Least Furniture,Home & Garden,Furniture,496.49,386.36
P00057,Against Decor,Home & Garden,Decor,460.12,324.24
P00058,Color Decor,Home & Garden,Decor,268.06,195.98
P00059,Field Decor,Home & Garden,Decor,377.25,293.76
P00060,She Decor,Home & Garden,Decor,534.46,341.43
P00061,Dark Decor,Home & Garden,Decor,62.41,39.23
P00062,Manager Decor,Home & Garden,Decor,140.07,101.33
P00063,Guy Kitchen,Home & Garden,Kitchen,329.62,246.08
P00064,Left Kitchen,Home & Garden,Kitchen,25.74,16.34
P00065,Each Kitchen,Home & Garden,Kitchen,96.5,76.83
P00066,Movement Kitchen,Home & Garden,Kitchen,422.64,320.14
P00067,Discuss Kitchen,Home & Garden,Kitchen,529.3,352.73
P00068,People Kitchen,Home & Garden,Kitchen,131.83,114.13
P00069,When Tool,Home & Garden,Tools,452.65,379.48
P00070,Reveal Tool,Home & Garden,Tools,403.55,289.43
P00071,Group Tool,Home & Garden,Tools,455.29,304.48
P00072,Will Tool,Home & Garden,Tools,362.99,260.13
P00073,Play Tool,Home & Garden,Tools,380.75,318.21
P00074,Tonight Tool,Home & Garden,Tools,138.42,92.53
P00075,Thousand Tool,Home & Garden,Tools,181.47,125.95
P00076,Senior Equipment,Sports,Equipment,271.68,191.94
P00077,Realize Equipment,Sports,Equipment,263.58,173.07
P00078,Management Equipment,Sports,Equipment,203.68,135.66
P00079,Catch Equipment,Sports,Equipment,142.89,112.01
P00080,Use Equipment,Sports,Equipment,65.63,52.66
P00081,Finally Equipment,Sports,Equipment,74.04,52.22
P00082,Several Clothing,Sports,Clothing,380.3,306.06
P00083,Seek Clothing,Sports,Clothing,125.94,90.47
P00084,In Clothing,Sports,Clothing,477.09,291.21
P00085,Keep Clothing,Sports,Clothing,274.09,212.23
P00086,These Clothing,Sports,Clothing,55.76,44.71
