order_item_id,order_id,product_id,quantity,unit_price,discount
OI0000001,O000001,P00112,1,264.71,0.2
OI0000002,O000001,P00107,1,373.63,0.0
OI0000003,O000002,P00002,3,75.51,0.15
OI0000004,O000002,P00044,1,52.37,0.2
OI0000005,O000003,P00015,3,125.4,0.0
OI0000006,O000004,P00058,1,268.06,0.0
OI0000007,O000004,P00061,2,62.41,0.0
OI0000008,O000005,P00027,2,425.73,0.1
OI0000009,O000005,P00095,2,40.98,0.2
OI0000010,O000005,P00069,1,452.65,0.0
OI0000011,O000005,P00028,3,43.31,0.1
OI0000012,O000005,P00070,1,403.55,0.05
OI0000013,O000006,P00080,1,65.63,0.15
OI0000014,O000006,P00094,1,222.34,0.15
OI0000015,O000006,P00019,1,80.96,0.15
OI0000016,O000007,P00003,2,419.56,0.05
OI0000017,O000008,P00075,2,181.47,0.0
OI0000018,O000008,P00116,3,571.16,0.0
OI0000019,O000008,P00085,1,274.09,0.0
OI0000020,O000008,P00068,2,131.83,0.0
OI0000021,O000009,P00037,2,379.94,0.15
OI0000022,O000009,P00026,1,236.15,0.1
OI0000023,O000009,P00102,2,377.84,0.0
OI0000024,O000010,P00007,1,522.61,0.15
OI0000025,O000010,P00060,2,534.46,0.0
OI0000026,O000011,P00009,1,411.99,0.15
OI0000027,O000011,P00050,2,212.38,0.2
OI0000028,O000011,P00085,2,274.09,0.15
OI0000029,O000011,P00035,2,385.83,0.0
OI0000030,O000012,P00111,3,39.89,0.0
OI0000031,O000012,P00014,1,306.6,0.0
OI0000032,O000013,P00112,2,264.71,0.15
OI0000033,O000014,P00050,2,212.38,0.05
OI0000034,O000014,P00030,1,211.27,0.1
OI0000035,O000015,P00091,3,86.94,0.0
OI0000036,O000016,P00116,2,571.16,0.0
OI0000037,O000017,P00063,2,329.62,0.1
OI0000038,O000017,P00111,1,39.89,0.0
OI0000039,O000017,P00077,2,263.58,0.0
OI0000040,O000018,P00026,1,236.15,0.1
OI0000041,O000018,P00065,1,96.5,0.15
OI0000042,O000018,P00059,1,377.25,0.0
OI0000043,O000019,P00006,3,117.92,0.0
OI0000044,O000020,P00119,4,324.39,0.0
OI0000045,O000020,P00068,1,131.83,0.05
OI0000046,O000020,P00040,2,464.84,0.05
OI0000047,O000021,P00096,2,302.38,0.0
OI0000048,O000022,P00003,3,419.56,0.15
OI0000049,O000022,P00045,2,303.55,0.0
OI0000050,O000023,P00046,3,488.5,0.1
OI0000051,O000023,P00081,3,74.04,0.0
OI0000052,O000023,P00039,1,78.36,0.2
OI0000053,O000023,P00031,2,462.82,0.0
OI0000054,O000024,P00081,1,74.04,0.05
OI0000055,O000024,P00033,1,97.17,0.2
OI0000056,O000025,P00004,1,41.11,0.0
OI0000057,O000025,P00072,1,362.99,0.0
OI0000058,O000026,P00020,3,21.08,0.05
OI0000059,O000026,P00044,2,52.37,0.15
OI0000060,O000027,P00018,1,97.12,0.15
OI0000061,O000027,P00012,1,518.79,0.05
OI0000062,O000028,P00067,1,529.3,0.15
OI0000063,O000029,P00079,1,142.89,0.05
OI0000064,O000029,P00112,1,264.71,0.0
OI0000065,O000029,P00081,1,74.04,0.1
OI0000066,O000029,P00088,1,15.01,0.0
OI0000067,O000029,P00030,1,211.27,0.05
OI0000068,O000030,P00040,4,464.84,0.1
OI0000069,O000031,P00043,1,243.73,0.05
OI0000070,O000032,P00070,1,403.55,0.0
OI0000071,O000033,P00027,1,425.73,0.15
OI0000072,O000034,P00018,2,97.12,0.1
OI0000073,O000035,P00070,1,403.55,0.15
OI0000074,O000036,P00103,1,132.87,0.0
OI0000075,O000037,P00111,1,39.89,0.0
OI0000076,O000037,P00018,1,97.12,0.15
OI0000077,O000038,P00091,1,86.94,0.1
OI0000078,O000038,P00116,1,571.16,0.0
OI0000079,O000039,P00056,3,496.49,0.2
OI0000080,O000040,P00019,2,80.96,0.1
OI0000081,O000040,P00084,3,477.09,0.0
OI0000082,O000041,P00041,2,19.77,0.0
OI0000083,O000041,P00009,2,411.99,0.0
OI0000084,O000041,P00072,1,362.99,0.0
OI0000085,O000041,P00069,1,452.65,0.2
OI0000086,O000041,P00093,2,320.92,0.0
OI0000087,O000042,P00094,1,222.34,0.05
OI0000088,O000042,P00004,2,41.11,0.05
OI0000089,O000042,P00098,1,298.47,0.0
OI0000090,O000042,P00041,1,19.77,0.05
OI0000091,O000042,P00113,1,151.95,0.15
OI0000092,O000043,P00120,1,568.77,0.15
OI0000093,O000043,P00106,2,183.48,0.15
OI0000094,O000044,P00036,3,136.63,0.0
OI0000095,O000044,P00020,1,21.08,0.0
OI0000096,O000044,P00100,3,205.9,0.0
OI0000097,O000045,P00024,1,194.34,0.0
OI0000098,O000046,P00098,1,298.47,0.1
OI0000099,O000046,P00079,1,142.89,0.0
OI0000100,O000047,P00078,2,203.68,0.1
OI0000101,O000048,P00079,2,142.89,0.0
OI0000102,O000049,P00077,2,263.58,0.0
OI0000103,O000049,P00030,3,211.27,0.15
OI0000104,O000050,P00004,1,41.11,0.0
OI0000105,O000051,P00011,1,477.15,0.15
OI0000106,O000052,P00100,1,205.9,0.0
OI0000107,O000052,P00062,1,140.07,0.1
OI0000108,O000053,P00109,2,130.78,0.15
OI0000109,O000053,P00078,2,203.68,0.15
OI0000110,O000053,P00061,2,62.41,0.0
OI0000111,O000054,P00024,2,194.34,0.05
OI0000112,O000054,P00110,1,82.92,0.05
OI0000113,O000054,P00050,4,212.38,0.0
OI0000114,O000055,P00021,1,265.21,0.0
OI0000115,O000055,P00025,1,205.26,0.0
OI0000116,O000056,P00053,3,564.38,0.0
OI0000117,O000056,P00098,1,298.47,0.0
OI0000118,O000057,P00053,3,564.38,0.0
OI0000119,O000058,P00096,1,302.38,0.0
OI0000120,O000058,P00086,1,55.76,0.0
OI0000121,O000058,P00026,2,236.15,0.0
OI0000122,O000058,P00097,1,193.82,0.05
OI0000123,O000059,P00111,1,39.89,0.15
OI0000124,O000059,P00079,1,142.89,0.0
OI0000125,O000059,P00063,1,329.62,0.2
OI0000126,O000060,P00059,1,377.25,0.0
OI0000127,O000061,P00055,2,268.52,0.05
OI0000128,O000062,P00100,3,205.9,0.0
OI0000129,O000063,P00078,2,203.68,0.15
OI0000130,O000064,P00106,1,183.48,0.05
OI0000131,O000065,P00093,1,320.92,0.05
OI0000132,O000065,P00041,2,19.77,0.1
OI0000133,O000066,P00096,2,302.38,0.1
OI0000134,O000066,P00074,1,138.42,0.1
OI0000135,O000066,P00077,3,263.58,0.15
OI0000136,O000067,P00113,4,151.95,0.2
OI0000137,O000067,P00091,2,86.94,0.0
OI0000138,O000068,P00067,1,529.3,0.0
OI0000139,O000069,P00058,2,268.06,0.2
OI0000140,O000069,P00059,1,377.25,0.0
OI0000141,O000070,P00113,1,151.95,0.1
OI0000142,O000070,P00032,1,492.19,0.05
OI0000143,O000070,P00067,1,529.3,0.15
OI0000144,O000071,P00006,2,117.92,0.05
OI0000145,O000071,P00072,1,362.99,0.1
OI0000146,O000072,P00098,1,298.47,0.0
OI0000147,O000072,P00081,1,74.04,0.0
OI0000148,O000073,P00038,1,373.16,0.05
OI0000149,O000073,P00057,2,460.12,0.0
OI0000150,O000074,P00100,3,205.9,0.05
OI0000151,O000074,P00106,1,183.48,0.0
OI0000152,O000074,P00037,1,379.94,0.05
OI0000153,O000075,P00038,2,373.16,0.0
OI0000154,O000075,P00079,2,142.89,0.15
OI0000155,O000076,P00067,1,529.3,0.0
OI0000156,O000077,P00060,2,534.46,0.15
OI0000157,O000077,P00107,1,373.63,0.05
OI0000158,O000078,P00012,2,518.79,0.15
OI0000159,O000079,P00065,1,96.5,0.0
OI0000160,O000080,P00024,1,194.34,0.2
OI0000161,O000081,P00075,1,181.47,0.15
OI0000162,O000081,P00115,1,275.35,0.1
OI0000163,O000082,P00018,1,97.12,0.05
OI0000164,O000083,P00053,1,564.38,0.05
OI0000165,O000083,P00042,1,444.01,0.0
OI0000166,O000084,P00023,1,220.19,0.05
OI0000167,O000085,P00076,1,271.68,0.15
OI0000168,O000086,P00115,1,275.35,0.05
OI0000169,O000086,P00026,2,236.15,0.0
OI0000170,O000087,P00033,1,97.17,0.0
OI0000171,O000088,P00089,2,185.57,0.15
OI0000172,O000089,P00117,1,372.96,0.15
OI0000173,O000090,P00102,1,377.84,0.0
OI0000174,O000091,P00092,1,315.53,0.0
OI0000175,O000091,P00094,2,222.34,0.15
OI0000176,O000091,P00016,2,21.7,0.05
OI0000177,O000091,P00012,1,518.79,0.15
OI0000178,O000092,P00047,2,293.14,0.0
OI0000179,O000093,P00068,1,131.83,0.15
OI0000180,O000094,P00050,2,212.38,0.2
OI0000181,O000094,P00094,2,222.34,0.1
OI0000182,O000095,P00079,1,142.89,0.05
OI0000183,O000095,P00021,1,265.21,0.1
OI0000184,O000096,P00049,2,193.92,0.0
OI0000185,O000097,P00099,1,91.51,0.1
OI0000186,O000097,P00022,1,315.29,0.2
OI0000187,O000097,P00117,1,372.96,0.15
OI0000188,O000097,P00043,3,243.73,0.2
OI0000189,O000098,P00020,1,21.08,0.2
OI0000190,O000098,P00021,4,265.21,0.0
OI0000191,O000099,P00023,1,220.19,0.0
OI0000192,O000099,P00099,3,91.51,0.05
OI0000193,O000099,P00092,1,315.53,0.0
OI0000194,O000100,P00040,1,464.84,0.15
OI0000195,O000101,P00099,2,91.51,0.15
OI0000196,O000101,P00058,1,268.06,0.0
OI0000197,O000101,P00037,4,379.94,0.0
OI0000198,O000102,P00116,2,571.16,0.0
OI0000199,O000103,P00026,1,236.15,0.1
OI0000200,O000103,P00001,1,186.44,0.2
OI0000201,O000104,P00033,1,97.17,0.05
OI0000202,O000104,P00002,2,75.51,0.2
OI0000203,O000104,P00059,1,377.25,0.05
OI0000204,O000105,P00070,1,403.55,0.0
OI0000205,O000105,P00104,1,250.89,0.1
OI0000206,O000106,P00113,3,151.95,0.05
OI0000207,O000107,P00031,1,462.82,0.1
OI0000208,O000107,P00028,3,43.31,0.15
OI0000209,O000108,P00061,1,62.41,0.05
OI0000210,O000108,P00059,4,377.25,0.0
OI0000211,O000108,P00053,2,564.38,0.1
OI0000212,O000109,P00077,1,263.58,0.0
OI0000213,O000110,P00032,2,492.19,0.1
OI0000214,O000110,P00113,1,151.95,0.0
OI0000215,O000111,P00080,1,65.63,0.15
OI0000216,O000112,P00072,1,362.99,0.2
OI0000217,O000112,P00105,1,567.15,0.0
OI0000218,O000113,P00007,2,522.61,0.0
OI0000219,O000113,P00024,1,194.34,0.0
OI0000220,O000114,P00084,1,477.09,0.0
OI0000221,O000115,P00005,4,297.83,0.0
OI0000222,O000116,P00110,1,82.92,0.1
OI0000223,O000116,P00005,1,297.83,0.2
OI0000224,O000116,P00086,1,55.76,0.1
OI0000225,O000117,P00039,1,78.36,0.0
OI0000226,O000117,P00043,2,243.73,0.0
OI0000227,O000118,P00014,1,306.6,0.0
OI0000228,O000118,P00054,3,499.72,0.15
OI0000229,O000118,P00023,2,220.19,0.0
OI0000230,O000119,P00079,4,142.89,0.15
OI0000231,O000119,P00085,1,274.09,0.1
OI0000232,O000119,P00089,1,185.57,0.1
OI0000233,O000120,P00101,2,79.35,0.05
OI0000234,O000120,P00072,3,362.99,0.15
OI0000235,O000120,P00023,1,220.19,0.1
OI0000236,O000121,P00047,1,293.14,0.0
OI0000237,O000121,P00120,1,568.77,0.0
OI0000238,O000122,P00099,1,91.51,0.0
OI0000239,O000123,P00042,2,444.01,0.0
OI0000240,O000124,P00115,1,275.35,0.05
OI0000241,O000125,P00105,1,567.15,0.0
OI0000242,O000126,P00098,1,298.47,0.0
OI0000243,O000126,P00055,1,268.52,0.0
OI0000244,O000126,P00108,2,475.6,0.05
